Name;Icon;Created Date;Equipment;Equipment Weights;;;;;
;;;Pin-Loaded 4-Way Neck;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded 45° Back Extension;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Assisted Pull-Up/Dip;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Biceps Curl With Arms At Side;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Cable Crossover;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Cable Lat Pulldown;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Crunch (With Chest Pad);0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Crunch (With Front Handles);0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Crunch (With Overhead Handles);0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Donkey Calf Raise;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Dual Handle Cable Tower;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Fixed Lat Pulldown;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Front Lat Pulldown (Chest-Supported);0 - 250 kg, 5 kg increments;;;Yes;No;No
;;;Pin-Loaded High Row;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Hip Abductor/Adductor Combo Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Hip Thrust;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Horizontal Biceps Curl;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Iso-Lateral High Biceps Curl;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Leg Extension;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Leg Extension/Leg Curl Combo Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Leg Press;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Overhead Triceps Extension;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Preacher Curl;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Preacher Curl/Triceps Extension Combo;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Pullover;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Reverse Hyperextension;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Row (No Chest Support);0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Shoulder Press;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Shrug;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Single Cable Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Smith Machine Functional Trainer;0 - 250 kg, 5 kg increments;;;;;
;;;Pin-Loaded Triceps Extension;0 - 250 kg, 5 kg increments;;;;;
;;;Plate-Loaded 4-Way Neck;0.9 kg;;;;;
;;;Plate-Loaded 45° Back Extension;11 kg;;;;;
;;;Plate-Loaded Assisted Pull-Up/Dip;0 kg;;;;;
;;;Plate-Loaded Back Extension;0 kg;;;;;
;;;Plate-Loaded Biceps Curl With Arms At Side;0 kg;;;;;
;;;Plate-Loaded Cable Crossover;0 kg;;;;;
;;;Plate-Loaded Cable Lat Pulldown;0 kg;;;;;
;;;Plate-Loaded Crunch (With Chest Pad);0 kg;;;;;
;;;Plate-Loaded Crunch (With Overhead Handles);11.3 kg;;;;;
;;;Plate-Loaded Crunch/Back Extension Combo;0 kg;;;;;
;;;Plate-Loaded D.Y. Row;1.4 kg;;;;;
;;;Plate-Loaded Donkey Calf Raise;22.7 kg;;;;;
;;;Plate-Loaded Dual Handle Cable Tower;0 kg;;;;;
;;;Plate-Loaded Fly;0 kg;;;;;
;;;Plate-Loaded Front Lat Pulldown (Chest-Supported);0.5 kg;;;;;
;;;Plate-Loaded High Pulley Cable System (Single Loading Pin);0 kg;;;;;
;;;Plate-Loaded High Row;0.9 kg;;;;;
;;;Plate-Loaded High/Low Pulley Cable System (Single Loading Pin);0 kg;;;;;
;;;Plate-Loaded Hip Abductor/Adductor Combo Machine;0 kg;;;;;
;;;Plate-Loaded Hip Thrust (Starting From The Bottom);7 kg;;;;;
;;;Plate-Loaded Hip Thrust (Starting From The Top);7 kg;;;;;
;;;Plate-Loaded Incline Bench Press;9.1 kg;;;;;
;;;Plate-Loaded Incline Fly;6.4 kg;;;;;
;;;Plate-Loaded Iso-Lateral High Biceps Curl;0 kg;;;;;
;;;Plate-Loaded Lat Pulldown (No Chest Support);0.9 kg;;;;;
;;;Plate-Loaded Lat Pulldown/Low Row Rack Attachment;0 kg;;;;;
;;;Plate-Loaded Leg Extension;9.1 kg;;;;;
;;;Plate-Loaded Leverage Leg Press;36.3 kg;;;;;
;;;Plate-Loaded Linear Leg Press;53.5 kg;;;;;
;;;Plate-Loaded Low Row;4.5 kg;;;;;
;;;Plate-Loaded Overhead Triceps Extension;6.8 kg;;;;;
;;;Plate-Loaded Preacher Curl;3.6 kg;;;;;
;;;Plate-Loaded Preacher Curl/Triceps Extension Combo;3.6 kg;;;;;
;;;Plate-Loaded Pullover;8.2 kg;;;;;
;;;Plate-Loaded Shoulder Press;4.5 kg;;;;;
;;;Plate-Loaded Single Cable Machine (Dual Sleeve);0 kg;;;;;
;;;Plate-Loaded Super Incline Press;5 kg;;;;;
;;;Plate-Loaded Triceps Extension;3.6 kg;;;;;
;;;Plate-Loaded Wrist Bar;0 kg;;;;;
;;;Plyometric Boxes;;;;;;
;;;Pool;;;;;;
;;;Power Rack;;;;;;
;;;Power Squat Pro;32.7 kg;;;;;
;;;Preacher Curl Bench;;;;;;
;;;Pulley Belt Squat;12.5 kg;;;;;
;;;Push-Up Handles;;;;;;
;;;Reclined Pin-Loaded Incline Press;0 - 250 kg, 5 kg increments;;;;;
;;;Roman Chair;;;;;;
;;;Rotator Cuff Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Rowing Machine;;;;;;
;;;Safety Squat Bar (SSB);25 kg, 27.5 kg, 29.5 kg, 32 kg;;;;;
;;;Seal Row Bench;;;;;;
;;;Seated Bench;;;;;;
;;;Seated Cable Row;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Dual Cable Row;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Hack Squat;40.8 kg;;;;;
;;;Seated Lower Torso Rotation;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Overhead Press Station;;;;;;
;;;Seated Pin-Loaded Back Extension;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Calf Extension;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Calf Raise;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Chest Press;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Decline Press;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Dip;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Hip Abductor;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Hip Adductor;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Incline Press;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Lateral Raise;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Pin-Loaded Leg Curl;0 - 250 kg, 5 kg increments;;;;;
;;;Seated Plate-Loaded Calf Raise;22.7 kg;;;;;
;;;Seated Plate-Loaded Chest Press;3.2 kg;;;;;
;;;Seated Plate-Loaded Decline Press;2.7 kg;;;;;
;;;Seated Plate-Loaded Dip;3.6 kg;;;;;
;;;Seated Plate-Loaded Gripper;12.6 kg;;;;;
;;;Seated Plate-Loaded Hip Abductor;5 kg;;;;;
;;;Seated Plate-Loaded Hip Adductor;0 kg;;;;;
;;;Seated Plate-Loaded Incline Press;3.6 kg;;;;;
;;;Seated Plate-Loaded Lateral Raise;0.5 kg;;;;;
;;;Seated Plate-Loaded Leg Curl;2.7 kg;;;;;
;;;Seated Plate-Loaded Shrug;11.4 kg;;;;;
;;;Short Resistance Band;Orange, Red, Blue, Green, Black, Purple;;;;;
;;;Shrug/Deadlift Machine;11.4 kg;;;;;
;;;Side-Plate-Loaded Reverse Hyperextension;9 kg;;;;;
;;;Sissy Squat Machine;;;;;;
;;;SkiErg;;;;;;
;;;Slant Board;;;;;;
;;;Sled;36.3 kg;;;;;
;;;Sled Pulling Belt/Harness;;;;;;
;;;Slingshot;;;;;;
;;;Smith Machine;20 kg;;;;;
;;;Split Squat Roller Stand;;;;;;
;;;Squat Box;;;;;;
;;;Squat Stand;;;;;;
;;;Stability Ball;;;;;;
;;;Stair Climber;;;;;;
;;;Staircase;;;;;;
;;;Standing Chest Press;9.1 kg;;;;;
;;;Standing Hip Thrust Machine;20 kg;;;;;
;;;Standing Multi Flight;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Pec Fly;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Pin-Loaded Calf Raise;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Pin-Loaded Glute Kickback;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Pin-Loaded Hip Abductor;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Pin-Loaded Lateral Raise;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Pin-Loaded Leg Curl;0 - 250 kg, 5 kg increments;;;;;
;;;Standing Plate-Loaded Calf Raise;30.4 kg;;;;;
;;;Standing Plate-Loaded Glute Kickback;23 kg;;;;;
;;;Standing Plate-Loaded Gripper;6.3 kg;;;;;
;;;Standing Plate-Loaded Hip Abductor;20 kg;;;;;
;;;Standing Plate-Loaded Lateral Raise;2.5 kg;;;;;
;;;Standing Plate-Loaded Leg Curl;3.6 kg;;;;;
;;;Standing T-Bar Row (Without Chest Support);18 kg;;;;;
;;;Step-Up Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Straight Handle Landmine Attachment;;;;;;
;;;Straight Pull-Up Bar;;;;;;
;;;Strongman Log;22.5 kg, 32 kg, 61 kg;;;;;
;;;Suspension Trainer;;;;;;
;;;Swiss Bar;17.5 kg, 20 kg;;;;;
;;;T-Bell;0 kg;;;;;
;;;Tib Bar Trainer;0 kg;;;;;
;;;Tibialis Dorsiflexion Machine;4.5 kg;;;;;
;;;Total Quad/Hip Dual Cable Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Trap Bar;20 kg, 25 kg, 27 kg;;;;;
;;;Treadmill;;;;;;
;;;Triceps Bar;10 kg;;;;;
;;;Upper Torso Rotation With Arm Or Shoulder Pads;0 - 250 kg, 5 kg increments;;;;;
;;;Upper Torso Rotation With Chest Pad;0 - 250 kg, 5 kg increments;;;;;
;;;V-Bar Row Grip Attachment;;;;;;
;;;V-Squat;24.5 kg;;;;;
;;;VersaClimber;;;;;;
;;;Vertical Leg Press;49.9 kg;;;;;
;;;Viking Press Landmine Attachment;;;;;;
;;;Viking Press Machine;6.8 kg;;;;;
;;;Weight Plates;1.25 kg (Green), 2.5 kg (Blue), 5 kg (Silver), 10 kg (Green), 15 kg (Yellow), 20 kg (Blue);;;;;
;;;Weighted Vest;5 kg, 6 kg, 7 kg, 8 kg, 9 kg, 10 kg, 20 kg, 30 kg;;;;;
;;;Wrist Curl Machine;0 - 250 kg, 5 kg increments;;;;;
;;;Wrist Roller;0 kg;;;;;
;;;Yoga Blocks;;;;;;
;;;Yoke;60 kg, 75 kg, 84 kg;;;;;
